runname,hab_file,res_file,minarea,thr,metapatch,metadist
CB,habitat\CB_habcode1_nodata9999.tif,resistance\CB_res.tif,2,178,0.02,89
CB,habitat\CB_habcode1_nodata9999.tif,resistance\CB_res.tif,2,178,0.02,100
